,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO PULL,REFER TO HUNTR
405,CVE-2021-3950,1,0,0,0,0,1
406,CVE-2021-3945,1,0,0,0,0,1
407,CVE-2021-3944,1,0,0,0,0,1
408,CVE-2021-3938,1,0,0,0,0,1
409,CVE-2021-3934,1,0,0,0,0,1
410,CVE-2021-3932,1,0,0,0,0,1
411,CVE-2021-3931,1,0,0,0,0,1
412,CVE-2021-3928,1,0,0,0,0,1
413,CVE-2021-3927,1,0,0,0,0,1
414,CVE-2021-3924,1,0,0,0,0,1
415,CVE-2021-3921,1,0,0,0,0,1
416,CVE-2021-3920,1,0,0,0,0,1
417,CVE-2021-3918,1,0,0,0,0,1
418,CVE-2021-3916,1,0,0,0,0,1
419,CVE-2021-3915,1,0,0,0,0,1
420,CVE-2021-3906,1,0,0,0,0,1
421,CVE-2021-3904,1,0,0,0,0,1
422,CVE-2021-3903,1,0,0,0,0,1
423,CVE-2022-0401,1,0,0,0,0,1
424,CVE-2021-3901,1,0,0,0,0,1
425,CVE-2021-3900,1,0,0,0,0,1
426,CVE-2021-3745,1,0,0,0,0,1
427,CVE-2021-3879,1,0,0,0,0,1
428,CVE-2021-3878,1,0,0,0,0,1
429,CVE-2021-3836,1,0,0,0,0,1
430,CVE-2021-3882,1,0,0,0,0,1
431,CVE-2021-3875,1,0,0,0,0,1
432,CVE-2021-3874,1,0,0,0,0,1
433,CVE-2021-3872,1,0,0,0,0,1
434,CVE-2021-3852,1,0,0,0,0,1
435,CVE-2021-3869,1,0,0,0,0,1
436,CVE-2021-3863,1,0,0,0,0,1
437,CVE-2021-3858,1,0,0,0,0,1
438,CVE-2021-3756,1,0,0,0,0,1
439,CVE-2021-3851,1,0,0,0,0,1
440,CVE-2021-3846,1,0,0,0,0,1
441,CVE-2021-3841,0,0,0,0,0,0
442,CVE-2021-3765,1,0,0,0,0,1
443,CVE-2021-3828,1,0,0,0,0,1
444,CVE-2021-3822,1,0,0,0,0,1
445,CVE-2021-3820,1,0,0,0,0,1
446,CVE-2021-3819,1,0,0,0,0,1
447,CVE-2021-3818,1,0,0,0,0,1
448,CVE-2021-3889,1,0,0,0,0,1
449,CVE-2021-3881,1,0,0,0,0,1
450,CVE-2021-3888,1,0,0,0,0,1
451,CVE-2021-3813,1,0,0,0,0,1
452,CVE-2021-3810,1,0,0,0,0,1
453,CVE-2021-3807,1,0,0,0,0,1
454,CVE-2021-3805,1,0,0,0,0,1
455,CVE-2021-3804,1,0,0,0,0,1
456,CVE-2021-3803,1,0,0,0,0,1
457,CVE-2021-3801,1,0,0,0,0,1
458,CVE-2021-3799,1,0,0,0,0,1
459,CVE-2021-3751,1,0,0,0,0,1
460,CVE-2021-23435,0,0,0,0,1,0
461,CVE-2021-3796,1,0,0,0,0,1
462,CVE-2021-3706,1,0,0,0,0,1
463,CVE-2021-3795,1,0,0,0,0,1
464,CVE-2021-3794,1,0,0,0,0,1
465,CVE-2021-3797,1,0,0,0,0,1
466,CVE-2021-3785,1,0,0,0,0,1
467,CVE-2021-3783,1,0,0,0,0,1
468,CVE-2021-3645,1,0,0,0,0,1
469,CVE-2021-3780,1,0,0,0,0,1
470,CVE-2021-3646,1,0,0,0,0,1
471,CVE-2021-3778,1,0,0,0,0,1
472,CVE-2021-3777,1,0,0,0,0,1
473,CVE-2021-3812,1,0,0,0,0,1
474,CVE-2021-3811,1,0,0,0,0,1
475,CVE-2021-3776,1,0,0,0,0,1
476,CVE-2021-3775,1,0,0,0,0,1
477,CVE-2021-3830,1,0,0,0,0,1
478,CVE-2021-3770,1,0,0,0,0,1
479,CVE-2021-3768,1,0,0,0,0,1
480,CVE-2021-3767,1,0,0,0,0,1
481,CVE-2021-3766,1,0,0,0,0,1
482,CVE-2021-32568,1,0,0,0,0,1
483,CVE-2021-3758,1,0,0,0,0,1
484,CVE-2021-3757,1,0,0,0,0,1
485,CVE-2021-3749,1,0,0,0,0,1
486,CVE-2021-3734,1,0,0,0,0,1
487,CVE-2021-3730,1,0,0,0,0,1
488,CVE-2021-3729,1,0,0,0,0,1
489,CVE-2021-3728,1,0,0,0,0,1
490,CVE-2021-3692,1,0,0,0,0,1
491,CVE-2021-3689,1,0,0,0,0,1
492,CVE-2021-3683,1,0,0,0,0,1
493,CVE-2021-3680,1,0,0,0,0,1
494,CVE-2021-3678,1,0,0,0,0,1
495,CVE-2021-3664,1,0,0,0,0,1
496,CVE-2021-3663,1,0,0,0,0,1
497,CVE-2020-7792,0,0,0,0,0,0
498,CVE-2021-3649,1,0,0,0,0,1
499,CVE-2021-3647,1,0,0,0,0,1
500,CVE-2021-3603,1,0,0,0,0,0
501,CVE-2020-28283,0,0,0,0,0,0
502,CVE-2020-23138,0,0,0,0,0,0
503,CVE-2021-3666,1,0,0,0,0,1
504,CVE-2020-28278,0,0,0,0,0,0
505,CVE-2020-28360,0,0,0,0,0,0
506,CVE-2020-11887,0,1,0,0,0,0
507,CVE-2021-28458,0,0,0,0,0,0
508,CVE-2020-28442,0,0,0,0,0,0
509,CVE-2021-24033,0,0,0,0,1,0
510,CVE-2021-21315,1,0,0,1,0,0
511,CVE-2021-21388,1,0,0,1,0,0
512,CVE-2020-29456,0,1,1,0,0,0
513,CVE-2021-25928,0,0,0,0,0,0
514,CVE-2021-23329,0,0,0,0,1,0
515,CVE-2020-28277,0,0,0,0,0,0
516,CVE-2020-7713,0,0,0,0,0,0
